model,question_id,score
GrokLlama,81,6.8
GrokLlama,82,9.0
GrokLlama,83,7.666666666666667
GrokLlama,84,9.0
GrokLlama,85,10.0
GrokLlama,86,7.0
GrokLlama,87,8.666666666666666
GrokLlama,88,9.666666666666666
GrokLlama,89,9.0
GrokLlama,90,6.333333333333333
GrokLlama,91,7.0
GrokLlama,92,6.333333333333333
GrokLlama,93,7.0
GrokLlama,94,8.666666666666666
GrokLlama,95,1.6666666666666667
GrokLlama,96,8.333333333333334
GrokLlama,97,5.0
GrokLlama,98,8.0
GrokLlama,99,2.3333333333333335
GrokLlama,100,9.333333333333334
GrokLlama,101,1.3333333333333333
GrokLlama,102,5.333333333333333
GrokLlama,103,3.3333333333333335
GrokLlama,104,1.3333333333333333
GrokLlama,105,4.666666666666667
GrokLlama,106,2.0
GrokLlama,107,6.666666666666667
GrokLlama,108,1.6666666666666667
GrokLlama,109,4.333333333333333
GrokLlama,110,8.666666666666666
GrokLlama,111,1.0
GrokLlama,112,1.6666666666666667
GrokLlama,113,1.0
GrokLlama,114,1.0
GrokLlama,115,1.0
GrokLlama,116,1.0
GrokLlama,117,1.0
GrokLlama,118,1.0
GrokLlama,119,3.0
GrokLlama,120,1.0
GrokLlama,121,2.0
GrokLlama,122,2.0
GrokLlama,123,2.6666666666666665
GrokLlama,124,2.0
GrokLlama,125,1.0
GrokLlama,126,1.5
GrokLlama,127,2.0
GrokLlama,128,1.0
GrokLlama,129,2.0
GrokLlama,130,1.5
GrokLlama,131,4.333333333333333
GrokLlama,132,9.666666666666666
GrokLlama,133,3.0
GrokLlama,134,1.3333333333333333
GrokLlama,135,4.666666666666667
GrokLlama,136,3.0
GrokLlama,137,4.666666666666667
GrokLlama,138,3.3333333333333335
GrokLlama,139,4.0
GrokLlama,140,1.0
GrokLlama,141,7.666666666666667
GrokLlama,142,8.0
GrokLlama,143,7.333333333333333
GrokLlama,144,8.666666666666666
GrokLlama,145,5.666666666666667
GrokLlama,146,7.333333333333333
GrokLlama,147,8.666666666666666
GrokLlama,148,9.333333333333334
GrokLlama,149,8.333333333333334
GrokLlama,150,9.0
GrokLlama,151,8.0
GrokLlama,152,8.666666666666666
GrokLlama,153,8.333333333333334
GrokLlama,154,8.0
GrokLlama,155,7.0
GrokLlama,156,8.666666666666666
GrokLlama,157,8.666666666666666
GrokLlama,158,9.0
GrokLlama,159,10.0
GrokLlama,160,10.0
Llama2,81,8.75
Llama2,82,9.5
Llama2,83,8.5
Llama2,84,10.0
Llama2,85,10.0
Llama2,86,10.0
Llama2,87,8.25
Llama2,88,6.0
Llama2,89,9.5
Llama2,90,8.5
Llama2,91,7.25
Llama2,92,7.5
Llama2,93,8.0
Llama2,94,10.0
Llama2,95,1.5
Llama2,96,10.0
Llama2,97,9.25
Llama2,98,9.0
Llama2,99,5.5
Llama2,100,9.0
Llama2,101,6.5
Llama2,102,9.0
Llama2,103,5.5
Llama2,104,2.0
Llama2,105,2.0
Llama2,106,5.5
Llama2,107,5.0
Llama2,108,1.5
Llama2,109,1.5
Llama2,110,4.0
Llama2,111,2.0
Llama2,112,1.5
Llama2,113,1.5
Llama2,114,1.0
Llama2,115,2.0
Llama2,116,2.0
Llama2,117,1.0
Llama2,118,2.0
Llama2,119,10.0
Llama2,120,1.0
Llama2,121,1.5
Llama2,122,8.0
Llama2,123,8.0
Llama2,124,2.0
Llama2,125,1.5
Llama2,126,1.5
Llama2,127,1.0
Llama2,128,1.0
Llama2,129,3.5
Llama2,130,2.0
Llama2,131,7.5
Llama2,132,10.0
Llama2,133,6.0
Llama2,134,4.0
Llama2,135,9.0
Llama2,136,9.0
Llama2,137,5.5
Llama2,138,8.0
Llama2,139,4.5
Llama2,140,1.5
Llama2,141,9.0
Llama2,142,4.0
Llama2,143,9.5
Llama2,144,9.5
Llama2,145,9.5
Llama2,146,8.0
Llama2,147,7.5
Llama2,148,9.5
Llama2,149,10.0
Llama2,150,10.0
Llama2,151,8.5
Llama2,152,9.0
Llama2,153,9.5
Llama2,154,10.0
Llama2,155,9.5
Llama2,156,4.0
Llama2,157,10.0
Llama2,158,10.0
Llama2,159,7.0
Llama2,160,10.0
WildLlama,81,9.8
WildLlama,82,9.666666666666666
WildLlama,83,9.0
WildLlama,84,9.666666666666666
WildLlama,85,9.0
WildLlama,86,9.333333333333334
WildLlama,87,8.0
WildLlama,88,9.0
WildLlama,89,9.333333333333334
WildLlama,90,7.0
WildLlama,91,8.0
WildLlama,92,9.0
WildLlama,93,8.0
WildLlama,94,9.333333333333334
WildLlama,95,1.0
WildLlama,96,9.0
WildLlama,97,8.666666666666666
WildLlama,98,9.333333333333334
WildLlama,99,5.333333333333333
WildLlama,100,9.0
WildLlama,101,1.6666666666666667
WildLlama,102,7.333333333333333
WildLlama,103,8.0
WildLlama,104,1.3333333333333333
WildLlama,105,2.0
WildLlama,106,4.666666666666667
WildLlama,107,1.0
WildLlama,108,1.3333333333333333
WildLlama,109,1.6666666666666667
WildLlama,110,10.0
WildLlama,111,1.0
WildLlama,112,7.333333333333333
WildLlama,113,1.6666666666666667
WildLlama,114,1.3333333333333333
WildLlama,115,1.3333333333333333
WildLlama,116,1.0
WildLlama,117,1.3333333333333333
WildLlama,118,1.3333333333333333
WildLlama,119,8.0
WildLlama,120,2.3333333333333335
WildLlama,121,1.6666666666666667
WildLlama,122,6.666666666666667
WildLlama,123,8.666666666666666
WildLlama,124,1.5
WildLlama,125,2.0
WildLlama,126,1.5
WildLlama,127,2.0
WildLlama,128,1.0
WildLlama,129,1.5
WildLlama,130,2.0
WildLlama,131,7.333333333333333
WildLlama,132,8.0
WildLlama,133,3.3333333333333335
WildLlama,134,4.0
