model,category,count,mean,median,std,sem
GrokLlama,coding,10,1.75,2.0,0.485912657903775,0.15365907428821476
GrokLlama,extraction,10,3.55,3.5,2.3857214143035788,0.7544313531837518
GrokLlama,humanities,10,8.5,8.5,1.247219128924647,0.3944053188733077
GrokLlama,math,10,1.25,1.0,0.6346477588219923,0.20069324297987157
GrokLlama,reasoning,10,3.8,3.75,2.2997584414213783,0.7272474743090475
GrokLlama,roleplay,10,6.35,6.75,2.6982504619763445,0.8532617157446802
GrokLlama,stem,10,7.95,8.25,1.0658851303546317,0.33706247360261127
GrokLlama,writing,10,7.55,8.5,1.9923464669691473,0.6300352723811932
Llama2,coding,10,3.0,1.75,2.7284509239574835,0.8628119403696523
Llama2,extraction,10,6.5,6.75,2.6770630673681683,0.8465616732800195
Llama2,humanities,10,8.75,9.5,1.9184774055368896,0.6066758241067098
Llama2,math,10,2.4,1.75,2.705960499013654,0.8556998435328957
Llama2,reasoning,10,4.25,4.5,2.508319490548735,0.7932002689527194
Llama2,roleplay,10,7.7,8.5,2.5814509270735497,0.8163264597505638
Llama2,stem,10,8.65,9.5,1.8265024257063307,0.5775907817054484
Llama2,writing,10,8.9,9.125,1.2258783698955527,0.3876567783204335
WildLlama,coding,10,2.75,1.75,2.5303710751148296,0.800173592277187
WildLlama,extraction,10,4.9,4.75,2.1576736443576343,0.6823163163486239
WildLlama,humanities,10,9.775,10.0,0.2993047499344662,0.09464847243000456
WildLlama,math,10,2.4,1.5,2.1959558789334137,0.6944222218666551
WildLlama,reasoning,10,4.15,1.75,3.5594163067059807,1.1255862669935364
WildLlama,roleplay,10,7.725,8.875,2.646932186513285,0.8370334521391603
WildLlama,stem,10,8.05,8.625,1.9465068427541912,0.6155395104206463
WildLlama,writing,10,8.55,8.75,1.3632070031119015,0.4310839052125852
